1. Poloniex
1,TRMB,TRMB/CNY,"$ 652,895",$ 0.154321,86.01 %
2,RhinoCoin,RHC/CNY,"$ 41,389",$ 0.118329,5.45 %
3,Asset Backed Coin,ABC/CNY,"$ 27,112",$ 0.210823,3.57 %
4,YbCoin,YBC/CNY,"$ 17,174",$ 1.71,2.26 %
5,Factom,FCT/CNY,"$ 13,989",$ 1.62,1.84 %
6,StabilityShares,XSI/CNY,"$ 6,526",$ 0.077168,0.86 %
7,YbCoin,YBC/BTC,$ 0,$ 0,0.00 %
8,Litecoin,LTC/BTC,$ 0,$ 0,0.00 %
9,Dogecoin,DOGE/BTC,$ 0,$ 0,0.00 %
10,VPNCoin,VPN/CNY,$ 0,$ 0,0.00 %
Total,"$ 759,085",,
17. Yunbi
1,Bitcoin,BTC/CNY,"$ 427,571",$ 420.58,58.19 %
2,Ethereum,ETH/CNY,"$ 296,326",$ 11.17,40.33 %
3,Ethereum,ETH/BTC,"$ 8,679",$ 11.15,1.18 %
4,BitShares,BTS/CNY,"$ 2,209",$ 0.006065,0.30 %
5,PLAY,PLS/CNY,$ 17,$ 0.000869,0.00 %
6,bitCNY,BITCNY/CNY,$ 0,$ 0.154336,0.00 %
7,MUSE,MUSE/CNY,$ 0,$ 0.001466,0.00 %
8,BitShares,BTS/BTC,$ 0,$ 0.006338,0.00 %
Total,"$ 734,802",,
18. BIT-X
1,Bitcoin,BTC/USD,"$ 302,638",$ 419.26,43.19 %
2,Bitcoin,BTC/EUR,"$ 264,902",$ 420.61,37.81 %
3,Bitcoin,BTC/GBP,"$ 73,644",$ 418.86,10.51 %
4,Litecoin,LTC/BTC,"$ 34,317",$ 3.26,4.90 %
5,Litecoin,LTC/GBP,"$ 10,628",$ 3.22,1.52 %
6,Litecoin,LTC/USD,"$ 8,458",$ 3.22,1.21 %
7,Litecoin,LTC/EUR,"$ 6,101",$ 3.25,0.87 %
Total,"$ 700,687",,
19. Bittrex
1,Ethereum,ETH/BTC,"$ 148,819",$ 11.11,21.58 %
2,Voxels,VOX/BTC,"$ 135,587",$ 0.631120,19.66 %
3,Synereo,AMP/BTC,"$ 49,021",$ 0.117165,7.11 %
4,Scotcoin,SCOT/BTC,"$ 27,759",$ 0.001519,4.03 %
5,Jumbucks,JBS/BTC,"$ 26,851",$ 0.066755,3.89 %
6,MaidSafeCoin,MAID/BTC,"$ 15,632",$ 0.082491,2.27 %
7,Capricoin,CPC/BTC,"$ 15,616",$ 0.660413,2.26 %
8,Factom,FCT/BTC,"$ 14,863",$ 1.66,2.16 %
9,Bytecent,BYC/BTC,"$ 13,138",$ 0.123695,1.91 %
10,Auroracoin,AUR/BTC,"$ 12,984",$ 0.210436,1.88 %
View More
Total,"$ 689,640",,
20. BTC38
1,Bitcoin,BTC/CNY,"$ 206,429",$ 419.47,42.98 %
2,BitShares,BTS/CNY,"$ 56,903",$ 0.006143,11.85 %
3,Litecoin,LTC/CNY,"$ 46,248",$ 3.25,9.63 %
4,Dogecoin,DOGE/CNY,"$ 32,651",$ 0.000219,6.80 %
5,Stellar,XLM/CNY,"$ 24,217",$ 0.002300,5.04 %
6,EarthCoin,EAC/CNY,"$ 20,420",$ 0.000145,4.25 %
7,VPNCoin,VPN/CNY,"$ 13,921",$ 0.008180,2.90 %
8,NEM,XEM/CNY,"$ 13,480",$ 0.001411,2.81 %
9,MediterraneanCoin,MED/BTC,"$ 11,258",$ 0.005598,2.34 %
10,BlackCoin,BLK/CNY,"$ 7,887",$ 0.031793,1.64 %
View More
Total,"$ 480,258",,
21. Exmo
1,Bitcoin,BTC/RUB,"$ 138,883",$ 399.85,33.27 %
2,Bitcoin,BTC/USD,"$ 131,911",$ 420.00,31.60 %
3,Ethereum,ETH/BTC,"$ 54,879",$ 11.16,13.15 %
4,Bitcoin,BTC/EUR,"$ 31,941",$ 419.74,7.65 %
5,Dash,DASH/BTC,"$ 27,807",$ 6.99,6.66 %
6,Ethereum,ETH/USD,"$ 11,831",$ 11.29,2.83 %
7,Ethereum,ETH/RUB,"$ 5,954",$ 10.53,1.43 %
8,Dash,DASH/USD,"$ 4,511",$ 7.02,1.08 %
9,Dogecoin,DOGE/RUB,"$ 3,802",$ 0.000205,0.91 %
10,Dogecoin,DOGE/BTC,"$ 2,712",$ 0.000219,0.65 %
View More
Total,"$ 417,411",,
22. BTCGreece
1,Bitcoin,BTC/EUR,"$ 346,398",$ 438.81,100.00 %
23. Livecoin
1,Bitcoin,BTC/USD,"$ 149,785",$ 418.17,48.62 %
2,Ethereum,ETH/BTC,"$ 46,814",$ 10.94,15.19 %
3,Litecoin,LTC/BTC,"$ 19,389",$ 3.24,6.29 %
4,Dash,DASH/BTC,"$ 18,002",$ 6.98,5.84 %
5,Litecoin,LTC/USD,"$ 16,320",$ 3.24,5.30 %
6,Bitcoin,BTC/EUR,"$ 16,140",$ 415.47,5.24 %
7,Emercoin,EMC/BTC,"$ 7,638",$ 0.311821,2.48 %
8,Litecoin,LTC/EUR,"$ 7,267",$ 3.29,2.36 %
9,Dash,DASH/USD,"$ 4,071",$ 6.98,1.32 %
10,Bitcoin,BTC/RUR,"$ 3,779",$ 404.93,1.23 %
View More
Total,"$ 308,103",,
24. The Rock Trading
1,Bitcoin,BTC/EUR,"$ 206,940",$ 421.90,76.89 %
2,Bitcoin,BTC/USD,"$ 28,052",$ 421.31,10.42 %
3,Litecoin,LTC/EUR,"$ 22,993",$ 3.29,8.54 %
4,Litecoin,LTC/USD,"$ 6,600",$ 3.22,2.45 %
5,Ethereum,ETH/BTC,"$ 3,313",$ 11.44,1.23 %
6,Ethereum,ETH/EUR,"$ 1,003",$ 11.12,0.37 %
7,Litecoin,LTC/BTC,$ 186,$ 3.26,0.07 %
8,Ripple,XRP/EUR,$ 17,$ 0.007116,0.01 %
9,Peercoin,PPC/EUR,$ 16,$ 0.455595,0.01 %
10,Peercoin,PPC/BTC,$ 11,$ 0.454543,0.00 %
View More
Total,"$ 269,138",,
25. Justcoin
1,Bitcoin,BTC/USD,"$ 176,688",$ 416.43,99.98 %
2,Dogecoin,DOGE/BTC,$ 26,$ 0.000147,0.01 %
3,Litecoin,LTC/BTC,$ 11,$ 1.86,0.01 %
4,Ripple,XRP/BTC,$ 5,$ 0.007323,0.00 %
5,Stellar,XLM/BTC,$ 2,$ 0.001894,0.00 %
6,Startcoin,START/BTC,$ 0,$ 0.075757,0.00 %
Total,"$ 176,732",,
26. YoBit
1,Ethereum,ETH/BTC,"$ 48,905",$ 11.36,29.63 %
2,Destiny,DES/BTC,"$ 31,879",$ 0.079952,19.31 %
3,CrevaCoin,CREVA/BTC,"$ 26,371",$ 0.079027,15.98 %
4,SIBCoin,SIB/BTC,"$ 18,386",$ 0.090314,11.14 %
5,VIP Tokens,VIP/BTC,"$ 5,377",$ 0.000412,3.26 %
6,Dash,DASH/BTC,"$ 4,465",$ 6.65,2.70 %
7,Bitcoin,BTC/RUR,"$ 3,722",$ 425.11,2.25 %
8,DubaiCoin,DBIC/BTC,"$ 3,074",$ 0.006397,1.86 %
9,BiosCrypto,BIOS/BTC,"$ 2,667",$ 0.000875,1.62 %
10,Dogecoin,DOGE/BTC,"$ 2,262",$ 0.000215,1.37 %
View More
Total,"$ 165,067",,
27. BitBay
1,Bitcoin,BTC/PLN,"$ 153,547",$ 418.70,99.99 %
2,Litecoin,LTC/PLN,$ 13,$ 3.28,0.01 %
Total,"$ 153,560",,
28. Bitonic
1,Bitcoin,BTC/EUR,"$ 151,521",$ 417.96,100.00 %
29. Bitcoin Indonesia
1,Bitcoin,BTC/IDR,"$ 121,309",$ 420.51,82.17 %
2,Ethereum,ETH/BTC,"$ 17,777",$ 11.29,12.04 %
3,Dogecoin,DOGE/BTC,"$ 4,407",$ 0.000219,2.98 %
4,BitShares,BTS/BTC,"$ 2,225",$ 0.006018,1.51 %
5,Stellar,XLM/BTC,"$ 1,047",$ 0.002273,0.71 %
6,NEM,XEM/BTC,$ 636,$ 0.001380,0.43 %
7,Dash,DASH/BTC,$ 123,$ 6.84,0.08 %
8,Ripple,XRP/BTC,$ 56,$ 0.007361,0.04 %
9,Litecoin,LTC/BTC,$ 49,$ 3.24,0.03 %
10,Nxt,NXT/BTC,$ 10,$ 0.008207,0.01 %
Total,"$ 147,638",,
30. QuadricaCX
1,Bitcoin,BTC/CAD,"$ 60,096",$ 425.64,42.58 %
